100 	
5	32
1	6	3	436	6	
0	4	9	288	4	
1	3	9	511	7	
0	8	3	748	6	
1	1	8	177	7	
1	8	7	472	2	
0	2	5	175	2	
0	7	9	373	7	
0	9	6	370	3	
1	9	7	27	2	
1	9	6	761	9	
1	4	1	75	2	
0	7	8	225	7	
0	5	8	119	3	
1	9	8	365	5	
0	2	3	370	2	
1	9	1	162	5	
0	1	6	269	4	
1	8	1	767	5	
1	5	3	371	7	
0	1	3	9	5	
1	3	2	645	7	
0	3	7	166	3	
0	2	1	323	2	
1	4	5	296	9	
0	3	7	633	6	
1	3	9	457	2	
0	3	3	298	7	
1	7	2	358	2	
0	8	4	667	6	
0	4	8	335	5	
0	3	1	734	9	
0	1	3	220	8	
1	6	5	140	2	
1	2	1	183	7	
0	7	1	291	8	
0	1	3	416	1	
1	5	7	98	2	
1	9	7	149	8	
1	9	3	29	4	
1	1	8	269	1	
1	8	1	384	8	
1	8	9	572	8	
0	6	7	772	1	
0	8	7	243	3	
1	7	1	619	4	
1	5	1	43	9	
1	5	4	262	8	
1	7	4	565	3	
0	7	5	159	1	
0	9	3	554	4	
1	4	6	461	3	
1	5	2	19	4	
0	3	2	347	6	
1	7	3	260	2	
1	8	6	144	3	
0	6	2	260	1	
0	7	8	283	1	
1	4	9	203	4	
1	7	4	237	8	
0	6	1	448	7	
0	3	9	269	3	
0	5	6	416	4	
0	4	3	71	7	
0	6	4	93	2	
0	1	9	561	6	
1	2	3	416	5	
1	2	6	219	4	
0	1	1	58	7	
0	4	6	368	5	
1	6	9	701	5	
1	1	9	611	6	
1	2	9	214	5	
0	6	8	278	7	
0	7	5	329	4	
1	3	6	756	1	
1	4	2	136	1	
1	2	3	522	3	
0	8	6	534	1	
0	1	9	634	3	
0	2	7	179	8	
0	5	5	466	5	
0	9	8	14	9	
0	8	9	504	4	
0	9	9	504	3	
1	9	8	484	6	
1	8	3	221	1	
0	9	7	241	7	
0	3	8	197	5	
1	7	9	4	7	
0	8	9	392	7	
0	8	9	180	9	
1	1	7	573	7	
0	8	6	689	2	
0	7	8	276	3	
1	5	4	10	5	
1	6	1	252	4	
0	3	9	188	3	
1	1	1	97	4	
1	5	6	96	8	
