100 	
62	63
1	7	5	171	9	
1	6	8	573	1	
0	4	5	347	7	
1	1	9	217	5	
1	4	7	429	2	
0	6	3	7	1	
1	5	7	243	1	
0	6	5	447	9	
0	5	6	189	6	
1	4	1	237	1	
1	3	9	7	5	
0	1	7	244	7	
1	4	2	89	1	
0	8	8	308	3	
0	4	3	448	9	
1	4	5	317	4	
0	4	5	338	2	
0	1	7	578	3	
1	2	7	439	1	
0	1	8	483	3	
0	4	2	592	2	
0	3	5	676	7	
0	9	2	298	4	
0	6	7	480	7	
1	2	3	49	3	
0	3	8	11	7	
0	9	8	189	6	
0	6	7	319	4	
0	7	8	626	6	
0	9	2	230	1	
0	5	7	43	9	
0	4	9	2	9	
1	2	3	339	8	
0	8	1	689	5	
1	7	8	385	6	
0	7	4	117	2	
0	7	1	110	6	
0	9	1	607	2	
0	5	1	111	3	
1	7	5	614	1	
0	2	2	620	2	
0	5	4	440	2	
1	1	6	424	9	
1	9	2	318	6	
1	3	4	619	2	
0	2	3	485	6	
0	7	6	275	8	
0	1	8	633	6	
0	9	8	699	7	
1	8	6	235	9	
0	9	6	698	5	
1	3	9	257	2	
1	1	5	654	8	
0	6	6	124	7	
0	1	9	178	1	
0	5	9	347	9	
1	5	5	523	7	
1	4	3	367	6	
1	3	3	129	9	
1	6	3	453	6	
0	6	8	461	9	
1	2	5	281	6	
1	1	8	268	8	
0	7	9	485	9	
1	9	9	139	7	
1	4	4	627	6	
0	8	9	203	9	
1	9	5	495	3	
0	3	4	674	6	
1	3	8	28	4	
0	1	8	704	2	
0	1	7	161	1	
0	3	9	12	1	
1	4	5	170	5	
1	7	7	361	8	
0	3	6	387	5	
1	6	9	382	1	
0	1	9	440	9	
0	4	7	529	9	
1	3	3	529	4	
1	7	4	456	5	
1	4	8	468	1	
1	1	4	315	1	
1	6	5	462	9	
0	2	4	161	6	
0	4	3	49	2	
1	5	9	328	5	
1	7	4	358	6	
1	9	9	68	7	
1	5	9	596	8	
0	3	9	615	7	
0	5	4	588	9	
0	4	1	333	2	
0	7	4	701	7	
0	8	1	353	3	
1	9	3	407	8	
1	3	7	319	3	
1	4	5	67	1	
1	8	1	384	9	
0	1	4	649	9	
