50 	
0	32
0	1	2	45	1	
0	1	8	519	6	
0	5	5	446	3	
1	3	9	537	6	
0	5	3	469	7	
0	4	5	327	7	
1	6	2	298	7	
0	9	8	103	9	
0	8	8	113	3	
0	7	5	278	6	
1	5	9	158	8	
0	9	5	301	7	
1	2	6	302	4	
1	2	9	483	4	
0	9	4	344	8	
0	7	8	365	7	
1	9	6	517	6	
1	7	2	249	2	
0	5	8	232	8	
1	9	7	391	9	
1	9	8	535	6	
1	3	8	33	6	
0	5	5	276	6	
0	3	7	58	9	
1	7	6	471	1	
0	8	1	405	8	
1	3	1	411	9	
1	2	1	314	5	
0	6	1	345	2	
1	5	8	71	6	
1	9	5	441	6	
1	4	5	451	8	
1	6	8	250	4	
1	9	8	163	2	
1	4	8	58	8	
1	5	7	397	3	
1	7	5	64	3	
1	4	5	323	9	
1	6	9	546	7	
0	9	7	80	4	
0	4	1	451	1	
1	1	1	258	1	
0	6	6	412	5	
1	2	7	490	7	
1	9	1	157	3	
1	2	3	83	2	
0	8	7	18	4	
0	8	9	543	4	
1	7	7	190	2	
0	6	7	291	1	
