70 	
9	16
0	9	6	107	7	
1	9	8	72	6	
0	8	4	105	6	
0	7	4	80	7	
1	5	1	166	3	
1	3	6	69	8	
0	3	5	118	7	
0	5	2	20	6	
1	3	2	16	3	
0	7	4	60	3	
1	4	9	6	5	
1	2	1	39	8	
0	8	2	157	8	
1	1	8	97	3	
0	3	5	4	7	
1	6	8	39	6	
0	4	6	166	8	
1	7	5	86	3	
0	7	3	97	4	
0	7	6	71	5	
0	4	2	50	3	
0	6	6	154	4	
1	5	6	157	7	
0	4	5	122	2	
0	4	8	116	7	
0	1	7	34	3	
0	1	3	163	7	
1	9	7	33	1	
1	8	7	16	5	
1	5	6	156	8	
0	8	6	64	7	
1	6	8	113	5	
0	3	7	62	5	
1	4	4	34	9	
1	9	1	115	4	
1	2	4	47	6	
0	4	5	134	9	
0	6	1	76	2	
1	5	9	30	1	
1	5	3	160	8	
0	2	6	35	1	
1	3	1	70	8	
0	7	9	114	8	
1	1	6	164	5	
1	6	5	29	7	
1	4	2	48	2	
1	3	3	154	5	
0	1	2	1	2	
1	1	5	156	1	
1	2	5	105	6	
0	6	2	92	3	
0	2	8	1	8	
1	5	1	169	8	
1	5	3	98	5	
1	4	7	21	8	
0	1	7	146	5	
0	9	4	77	2	
0	9	9	105	7	
0	2	3	123	4	
0	5	9	145	2	
1	9	2	91	8	
0	3	4	65	8	
1	8	6	132	7	
0	2	5	53	1	
0	7	2	75	8	
0	9	3	110	8	
0	8	7	157	8	
1	3	4	38	9	
1	5	9	65	7	
1	1	8	91	3	
